processor_name,category,feat.total_cores,feat.total_threads,feat.max_turbo_ghz,feat.base_freq_ghz,feat.cache_mb,feat.base_power_w,feat.turbo_power_w,feat.price_usd,feat.max_mem_gb,feat.gfx_max_dyn_ghz,feat.execution_units,feat.vertical_segment,feat.freq_per_watt,feat.cores_per_watt,feat.cache_per_core
Intel® Core™ 3 processor 100HL (12M Cache- up to 4.60 GHz),Core_Processors,8,12,4.6,2.1,12.0,45.0,115.0,306.0,96.0,1.3,48.0,Embedded,0.10222222222222221,0.17777777777777778,1.5
Intel® Core™ 3 processor 100UL (10M Cache- up to 4.50 GHz),Core_Processors,6,8,4.5,2.4,10.0,15.0,55.0,285.0,96.0,1.25,64.0,Embedded,0.3,0.4,1.6666666666666667
Intel® Core™ 3 processor 100U (10M Cache- up to 4.70 GHz),Core_Processors,6,8,4.7,2.4,10.0,15.0,55.0,1195.0,96.0,1.25,64.0,Mobile,0.31333333333333335,0.4,1.6666666666666667
Intel® Core™ 3 processor 100U (10M Cache- up to 4.70 GHz- with IPU),Core_Processors,6,8,4.7,2.4,10.0,15.0,55.0,1195.0,96.0,1.25,64.0,Mobile,0.31333333333333335,0.4,1.6666666666666667
Intel® Core™ 3 Processor 201EF (12M Cache- up to 4.80 GHz),Core_Processors,4,8,4.8,2.4,12.0,35.0,115.0,1195.0,192.0,1.85,72.0,Embedded,0.14285714285714285,0.4,3.0
Intel® Core™ 3 Processor 201E (12M Cache- up to 4.80 GHz),Core_Processors,4,8,4.8,2.4,12.0,35.0,115.0,134.0,192.0,1.55,24.0,Embedded,0.14285714285714285,0.4,3.0
Intel® Core™ 3 Processor 201TE (12M Cache- up to 4.60 GHz),Core_Processors,4,8,4.6,2.4,12.0,35.0,115.0,134.0,192.0,1.55,24.0,Embedded,0.14285714285714285,0.4,3.0
Intel® Core™ 5 processor 120HL (18M Cache- up to 4.70 GHz),Core_Processors,12,16,4.7,2.4,18.0,45.0,95.0,279.0,96.0,1.45,80.0,Embedded,0.10444444444444445,0.26666666666666666,1.5
Intel® Core™ 5 processor 120UL (12M Cache- up to 4.60 GHz),Core_Processors,10,12,4.6,2.4,12.0,15.0,55.0,277.0,96.0,1.25,80.0,Embedded,0.30666666666666664,0.6666666666666666,1.2
Intel® Core™ 5 processor 120U (12M Cache- up to 5.00 GHz),Core_Processors,10,12,5.0,2.4,12.0,15.0,55.0,1195.0,96.0,1.3,80.0,Mobile,0.3333333333333333,0.6666666666666666,1.2
Intel® Core™ 5 processor 130HL (18M Cache- up to 4.80 GHz),Core_Processors,12,16,4.8,2.4,18.0,45.0,95.0,311.0,96.0,1.5,80.0,Embedded,0.10666666666666666,0.26666666666666666,1.5
Intel® Core™ 5 processor 130UL (12M Cache- up to 4.70 GHz),Core_Processors,10,12,4.7,2.4,12.0,15.0,55.0,309.0,96.0,1.25,80.0,Embedded,0.31333333333333335,0.6666666666666666,1.2
Intel® Core™ 5 processor 210H (12M Cache- up to 4.80 GHz),Core_Processors,8,12,4.8,2.4,12.0,45.0,115.0,1195.0,96.0,1.4,48.0,Mobile,0.10666666666666666,0.17777777777777778,1.5
Intel® Core™ 5 Processor 211EF (20M Cache- up to 4.90 GHz),Core_Processors,10,16,4.9,2.4,20.0,35.0,115.0,1195.0,192.0,1.85,0.0,Embedded,0.14285714285714285,0.4,2.0
Intel® Core™ 5 Processor 211E (20M Cache- up to 4.90 GHz),Core_Processors,10,16,4.9,2.4,20.0,35.0,115.0,221.0,192.0,1.55,24.0,Embedded,0.14285714285714285,0.4,2.0
Intel® Core™ 5 Processor 211TE (20M Cache- up to 4.80 GHz),Core_Processors,10,16,4.8,2.4,20.0,35.0,115.0,221.0,192.0,1.55,24.0,Embedded,0.14285714285714285,0.4,2.0
Intel® Core™ 5 processor 220H (18M Cache- up to 4.90 GHz),Core_Processors,12,16,4.9,2.4,18.0,45.0,115.0,1195.0,96.0,1.5,80.0,Mobile,0.1088888888888889,0.26666666666666666,1.5
Intel® Core™ 5 processor 220U (12M Cache- up to 5.00 GHz),Core_Processors,10,12,5.0,2.4,12.0,15.0,55.0,1195.0,96.0,1.3,80.0,Mobile,0.3333333333333333,0.6666666666666666,1.2
Intel® Core™ 5 Processor 221E (24M Cache- up to 5.20 GHz),Core_Processors,14,20,5.2,2.4,24.0,35.0,115.0,232.0,192.0,1.55,32.0,Embedded,0.14285714285714285,0.4,1.7142857142857142
Intel® Core™ 5 Processor 221TE (24M Cache- up to 5.00 GHz),Core_Processors,14,20,5.0,2.4,24.0,35.0,115.0,232.0,192.0,1.55,32.0,Embedded,0.14285714285714285,0.4,1.7142857142857142
